scenario,time_window,metric,baseline_gap,current_gap,baseline_adjusted_drift,absolute_drift,p_value_adjusted,reject_null,drift_threshold,drift_flag
equal_opportunity_drift,0,selection_parity_gap,-0.05330665789976752,-0.04831934525216075,0.0049873126476067675,0.0049873126476067675,0.15231061341427693,False,0.03,False
equal_opportunity_drift,1,selection_parity_gap,-0.05330665789976752,-0.058293970547374285,-0.0049873126476067675,0.0049873126476067675,0.08682410246372467,False,0.03,False
equal_opportunity_drift,2,selection_parity_gap,-0.05330665789976752,-0.0176993609335927,0.03560729696617482,0.03560729696617482,0.6465676555263895,False,0.03,False
equal_opportunity_drift,3,selection_parity_gap,-0.05330665789976752,-0.07956413730175732,-0.026257479401989803,0.026257479401989803,0.016897415100124547,True,0.03,False
equal_opportunity_drift,4,selection_parity_gap,-0.05330665789976752,-0.13460424925393083,-0.08129759135416331,0.08129759135416331,3.6515329013627776e-05,True,0.03,True
equal_opportunity_drift,5,selection_parity_gap,-0.05330665789976752,-0.09741594887468741,-0.04410929097491989,0.04410929097491989,0.003786832625181631,True,0.03,True
equal_opportunity_drift,6,selection_parity_gap,-0.05330665789976752,-0.14037687792480796,-0.08707022002504045,0.08707022002504045,6.682947238309106e-06,True,0.03,True
equal_opportunity_drift,7,selection_parity_gap,-0.05330665789976752,-0.23325674883525815,-0.17995009093549064,0.17995009093549064,1.3722614884618083e-15,True,0.03,True
false_positive_rate_drift,0,selection_parity_gap,-0.044782699303812096,-0.031938279963556415,0.01284441934025568,0.01284441934025568,0.3657235292269547,False,0.03,False
false_positive_rate_drift,1,selection_parity_gap,-0.044782699303812096,-0.057627118644067776,-0.01284441934025568,0.01284441934025568,0.08782435129740519,False,0.03,False
false_positive_rate_drift,2,selection_parity_gap,-0.044782699303812096,-0.05295915532092249,-0.008176456017110395,0.008176456017110395,0.11544111973806759,False,0.03,False
false_positive_rate_drift,3,selection_parity_gap,-0.044782699303812096,-0.050170150704910044,-0.005387451401097948,0.005387451401097948,0.1368809860232495,False,0.03,False
false_positive_rate_drift,4,selection_parity_gap,-0.044782699303812096,0.02708563263286362,0.07186833193667572,0.07186833193667572,0.46125341516047696,False,0.03,False
