n_per_group,baseline_rate,alpha,power_gap_0.05,power_gap_0.10,power_gap_0.15,power_gap_0.20,mde_80pct_power
50,0.4,0.05,0.07985461444029957,0.1725924700005464,0.3299105862495349,0.5324208639051089,0.27
100,0.4,0.05,0.11050200668237732,0.297924724225428,0.5747307898934876,0.8229821534848882,0.195
200,0.4,0.05,0.17323811483095708,0.5240924362220982,0.8595401057395535,0.9831029079631798,0.139
500,0.4,0.05,0.3601008805920538,0.8914766912282592,0.9977716129300293,0.9999965216376534,0.08800000000000001
1000,0.4,0.05,0.6196727859364369,0.9947297667888175,0.9999993299014864,0.9999999999996215,0.062
2000,0.4,0.05,0.8929923193948681,0.9999952620944333,0.9999999999999898,1.0,0.044000000000000004
